name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YBL002W	0.4615	0.1481	3842.2346	14.0000	2340.4943	0
YBL003C	0.5287	0.1202	7708.1414	14.0000	2336.1706	1
YBR010W	0.3137	0.0554	12338.9758	15.0000	122.7510	0
YCL066W	0.3056	0.0067	26075.7787	0.0010	0.0000	0
YDR194C	0.7833	0.0272	5104.3534	34.0000	86.1578	0
YDR224C	0.4505	0.0756	5490.1733	14.0000	222.0841	1
YDR225W	0.3750	0.0565	24214.2112	14.0000	254.3079	0
YIL126W	0.4269	0.0526	5133.6072	28.0000	368.7225	1
YNL030W	0.3761	0.0907	13188.8687	14.0000	921.1064	0
YNL031C	1.0000	0.1462	0.0000	14.0000	0.0000	0
YOL012C	0.3810	0.0221	5470.0307	0.0010	0.0000	0
YDL166C	0.7148	0.0804	7805.2472	0.0010	0.0000	1
YDR324C	0.6984	0.0777	3580.4133	91.0000	68837.4389	1
YDR365C	0.6865	0.0713	12129.8358	0.0010	0.0000	1
YER127W	0.6083	0.0502	25674.5631	51.0000	13179.9893	1
YFR037C	0.2056	0.0295	43999.6143	34.0000	268.5127	1
YGR090W	0.4003	0.0392	38151.6561	75.0000	15269.2572	1
